"topic","label_en","dbp_Links","Resource_src_info"
"http://namespacetopic.org/Chatbot","Chatbot","http://dbpedia.org/resource/Chatbot","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
"http://namespacetopic.org/ISO","ISO","http://dbpedia.org/resource/International_Organization_for_Standardization","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_2\slides\slides03.txt COMP_474_LECTURE_2"
"http://namespacetopic.org/Unicode","Unicode","http://dbpedia.org/resource/Unicode","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_2\slides\slides03.txt COMP_474_LECTURE_2"
"http://namespacetopic.org/EDA","EDA","http://dbpedia.org/resource/Electronic_design_automation","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
"http://namespacetopic.org/Chatbot_Approaches_Copyright","Chatbot_Approaches_Copyright","http://dbpedia.org/resource/Chatbot","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
"http://namespacetopic.org/World_Wide_Web_Consortium","World_Wide_Web_Consortium","http://dbpedia.org/resource/World_Wide_Web_Consortium","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_2\slides\slides03.txt COMP_474_LECTURE_2"
"http://namespacetopic.org/Machine_Learning","Machine_Learning","http://dbpedia.org/resource/Machine_learning","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
"http://namespacetopic.org/Google","Google","http://dbpedia.org/resource/Google","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
"http://namespacetopic.org/Euclidean","Euclidean","http://dbpedia.org/resource/Euclidean_space","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_3\slides\slides06.txt COMP_474_LECTURE_3"
"http://namespacetopic.org/Text_Mining_task","Text_Mining_task","http://dbpedia.org/resource/Text_mining","C:\Users\anmol\Downloads\Intelligent_System_6741\build2\data_dir\COMP_474\lecture_contents\lecture_1\slides\slides01.txt COMP_474_LECTURE_1"
